City,Quality_of_Life_Index,Purchasing_Power_Index,Safety_Index,Health_Care_Index,Cost_of_Living_Index,Property_Price_to_Income_Ratio,Traffic_Commute_Time_Index,Pollution_Index,Climate_Index
"Raleigh, NC",203.61,135.34,65.09,75.64,66.17,4.03,32.79,21.37,83.88
"Charlotte, NC",196.15,142.1,54.56,73.93,69.28,2.31,34.73,28.44,84.05
"Columbus, OH",195.31,136.99,56.76,73.95,67.96,5.01,24.94,25.41,71.29
"Seattle, WA",192.9,153.65,49.01,74.03,88.2,4,42.18,29.01,91.73
"Austin, TX",191.89,145.76,62.63,69.95,69.82,4.47,34.16,36.81,82.08
"Oklahoma City, OK",191.51,119.11,50.69,74.04,65.4,3.25,25,22.02,77.61
"Richmond, VA",189.95,125.42,52.74,74.69,66.8,5.13,21.96,31.14,81.27
"San Diego, CA",188.37,127.35,62.65,71.01,78.46,6.5,33.89,35.05,97.08
"Madison, WI",188.36,109.18,66.02,77.78,69.01,3.98,24.18,20.52,51.64
"Dallas, TX",185.8,155.94,49.06,66.2,74.91,2.06,35.16,41.61,81.85
"San Antonio, TX",185.26,145.53,51.55,70.86,62.12,2.05,30.38,45.71,80.58
"San Jose, CA",182.61,148.16,53.91,73.38,80.82,7.2,38.26,45.58,95.53
"Buffalo, NY",182.32,103.12,54.47,76.96,73.34,1.6,23.22,27.82,66.43
"Albuquerque, NM",181.74,145.2,29.53,64.29,61.88,2.44,24.97,27.09,67.06
"Jacksonville, FL",178.68,138.24,43.76,69.66,67.5,3.38,35.33,41.74,87.81
"Kansas City, MO",178.03,114.19,42.59,75.4,64.88,2.72,26.11,32.79,75.08
"Tampa, FL",177.03,109.51,52.45,68.08,74.53,3.49,35.84,29.39,84.67
"Boston, MA",176.97,123.56,61.67,75.84,81,7.05,45.36,29.56,71.73
"Cleveland, OH",176.2,131.18,35.74,79.8,71.72,1.42,33.74,37.44,73.11
"Cincinnati, OH",175.64,121.84,51.58,68.77,62.88,2.59,25.07,44.11,73.24
"Orlando, FL",174.72,120.32,48.59,63.98,69.37,2.94,36.68,36.24,87.23
"Indianapolis, IN",174.05,129.14,42.77,73.25,69.27,2.04,29.54,41.78,69.92
"Portland, OR",173.64,101.61,47.64,73.18,79.86,4.9,33.06,30.81,89.56
"Houston, TX",170.12,155.86,35.9,71.79,67.46,2.15,42.08,56.2,85.53
"Minneapolis, MN",169.86,117.6,44.98,78.9,77.12,3.9,36.31,26.92,49.46
"Nashville, TN",167.58,105.53,53.16,63.95,73.62,3.8,38.98,35.71,83.02
"Milwaukee, WI",167.56,118.93,33.29,66.8,67.36,2.94,28.54,29.63,60.96
"Tucson, AZ",167.37,91.52,49.71,59.87,65.39,3.76,28.29,26.74,72.66
"Oakland, CA",166.76,118.46,33.51,77.4,91.21,6.39,37.69,39.19,96.4
"Anchorage, AK",166.58,116.05,37.18,61.17,88.64,3.52,27.15,16.2,41.61
"Denver, CO",166.54,128.28,55.4,69.55,80.89,3.7,36.19,43.75,56.28
"Spokane, WA",166.53,99.4,44.94,63.66,72,8.71,23.73,23.63,67.12
"Saint Louis, MO",166.2,106.46,29.76,80.85,65.41,2.34,27.23,39.04,74.75
"Honolulu, HI",165.38,99.32,53.95,72.53,102.02,6.51,41.19,37.22,95.33
"Washington, DC",163.31,124.49,41.12,69.62,84.89,6.65,40.49,40.06,81.62
"Pittsburgh, PA",162.81,98.5,60.68,75.58,81.14,3.05,38.53,46.17,72.13
"Salt Lake City, UT",161.43,121.04,66.71,71.46,64.96,5.28,35.42,62.42,66.52
"Sacramento, CA",161.01,97.82,51.4,69.01,77.95,9.53,27.2,46.06,90.64
"Atlanta, GA",160.29,116.88,37.13,68.63,74.18,4.12,41.86,44.88,89.73
"Baltimore, MD",158.71,118.46,24.65,77.3,74.82,2.16,31.55,50.38,81.24
"San Francisco, CA",154.35,130.89,40.18,64.56,96.14,6.59,51.23,51.78,97.26
"Phoenix, AZ",152.97,122.38,48.1,67.15,71.54,3.77,32.75,56.27,53.76
"Chicago, IL",152.03,130.03,34.01,65.73,75.63,3.33,41.77,50.32,66.11
"Philadelphia, PA",151.94,117.65,36.91,69.84,76.65,4.14,40.07,53.49,77.98
"Miami, FL",151.52,88.83,47.68,63.4,78.82,5.58,43.41,39.91,85.69
"Las Vegas, NV",149.95,112.54,45.27,55.83,69.3,3.43,27.41,52.65,57.4
"Los Angeles, CA",140.98,123.5,49.31,61.71,79.34,6.09,61.07,67.56,95.5
"New York, NY",138.17,100,52.14,61.83,100,9.07,43.11,57.84,79.66
"Detroit, MI",132.43,107.99,25.34,62.39,69.12,1.35,45.09,59.4,66.03