State,Total,Income,Sales,Property
Alaska,2.43,0,1.45,0.98
New Hampshire,3.09,0,1.2,1.89
Wyoming,3.17,0,2.66,0.51
Florida,4.89,0,4.03,0.86
South Dakota,5.67,0,4.53,1.14
Texas,5.85,0,4.25,1.6
Washington,6.57,0,5.73,0.84
Nevada,6.78,0,6.22,0.56
Tennessee,4.89,0.08,4.18,0.63
North Dakota,5.78,0.81,4.09,0.88
Arizona,6.24,1.39,4.25,0.6
Louisiana,7.6,1.44,5.65,0.51
New Mexico,7.34,1.61,5.14,0.59
Mississippi,6.91,1.65,4.63,0.63
Kansas,6.94,1.65,4.01,1.28
Oklahoma,6.12,1.79,3.5,0.83
Alabama,6.3,1.88,4.05,0.37
Illinois,7.46,1.91,3.58,1.97
South Carolina,5.15,2,2.62,0.53
Indiana,6.52,2.01,3.7,0.81
Michigan,6.53,2.19,3.03,1.31
Rhode Island,6.66,2.21,3.08,1.37
Colorado,6.09,2.22,3.35,0.52
Arkansas,7.78,2.24,4.93,0.61
Nebraska,6.79,2.28,2.97,1.54
Vermont,7.37,2.28,3.33,1.76
Idaho,6.14,2.31,3.18,0.65
Georgia,6.22,2.38,2.97,0.87
Missouri,6.55,2.38,3.21,0.96
New Jersey,7,2.4,2.47,2.13
Delaware,4.26,2.47,1.2,0.59
Montana,4.45,2.47,1.24,0.74
Maine,7.17,2.47,3.5,1.2
Pennsylvania,7.1,2.51,3.16,1.43
Iowa,7.49,2.54,3.52,1.43
Ohio,8.04,2.58,3.94,1.52
West Virginia,7.13,2.6,4,0.53
North Carolina,6.75,2.66,3.31,0.78
Utah,6.92,2.69,3.67,0.56
Wisconsin,7.27,2.75,2.99,1.53
Hawaii,9.45,2.78,6.36,0.31
Virginia,5.77,2.8,2.13,0.84
Connecticut,6.99,3.09,2.17,1.73
Massachusetts,6.24,3.17,1.99,1.08
Kentucky,7.53,3.23,3.52,0.78
California,7.29,3.56,3.03,0.7
Minnesota,8.3,3.61,3.64,1.05
Maryland,7.69,3.91,2.77,1.01
Oregon,6.16,4.2,1.05,0.91
New York,9.14,4.4,3.44,1.3